issn,discount,is_flatrate
1084-1806,0.25,False
0301-4223,1,False
1744-3881,1,False
2950-2128,1,False
2212-5345,1,False
1727-947X,1,False
1600-0609,1,False
0035-9149,0.25,False
1741-6477,1,False
1099-1476,1,False
2044-8287,1,False
1945-2403,1,False
1943-0787,0.25,False
1469-9648,0.25,False
1473-3277,1,False
2633-559X,0.25,False
1932-586X,1,False
2366-1968,0.1,False
2574-299X,0.25,False
1268-7731,1,False
1741-1920,1,False
0169-409X,1,False
0098-1389,1,False
1369-5274,1,False
1754-9965,1,False
1479-683X,0.2,False
1361-6641,1,False
2637-7489,1,False
0021-4027,1,False
0954-5867,1,False
0075-4242,0.25,False
0006-3223,1,False
2332-3264,1,False
2211-0348,0.25,False
1477-2019,1,False
1398-9995,1,False
0737-0008,1,False
0269-8811,1,False
1467-9205,0.25,False
1029-3132,0.25,False
1472-8206,1,False
1741-6442,1,False
1476-8364,0.25,False
0022-3549,0.25,False
1477-9714,1,False
1466-4496,1,False
0014-0856,0.25,False
1864-1547,1,False
0306-4190,1,False
1573-1847,0.25,False
1554-6128,0.25,False
2468-7847,1,False
1541-3780,1,False
2299-3274,0.1,False
1520-5762,1,False
1469-4433,1,False
1522-2675,1,False
0790-8318,1,False
0012-365X,0.25,False
1753-2531,0.25,False
0021-9584,1,False
1539-7734,0.25,False
1757-8426,1,False
1874-9399,1,False
2168-3565,1,False
1471-9045,1,False
1755-5817,1,False
1435-4446,0.1,False
0895-9285,1,False
1548-1379,0.25,False
1460-2482,1,False
1568-5616,1,False
2196-078X,1,False
1520-4898,1,False
1478-6427,1,False
0341-4183,0.25,False
1541-3152,0.25,False
2327-3801,0.2,False
0267-6583,1,False
0306-4603,0.25,False
1369-8001,0.25,False
2637-9112,0.25,False
1744-0564,1,False
2154-4700,1,False
2332-3256,1,False
1944-8953,1,False
1930-322X,1,False
2161-4342,0.25,False
1532-6934,0.1,False
1542-3166,0.25,False
1566-0702,1,False
1361-4533,0.25,False
1540-6261,0.25,False
1744-7607,1,False
0165-7836,1,False
1743-1727,0.25,False
1353-7113,1,False
1945-7170,1,False
1445-5994,0.25,False
1066-8969,1,False
2230-8075,0.25,False
0308-275X,0.25,False
1399-3089,1,False
2299-3282,1,False
1708-8305,1,False
1477-2205,0.25,False
0166-8641,0.25,False
1552-8014,0.25,False
0022-0973,0.25,False
2192-2659,1,False
2588-932X,0.25,False
0269-9648,0.2,False
1530-9290,1,False
1055-8586,0.15,False
1862-5290,1,False
0891-2432,1,False
0305-4403,0.25,False
2051-1787,0.25,False
1754-2111,0.25,False
2976-7016,1,False
0049-7878,1,False
2352-5568,1,False
2047-9433,0.25,False
2052-2622,0.25,False
1940-3216,0,False
0258-9346,1,False
0261-1430,0.25,False
0376-6357,1,False
1460-4744,1,False
1756-6932,0.25,False
2515-1363,1,False
1743-5404,1,False
1479-8417,1,False
2381-2354,1,False
0305-5477,1,False
1470-1286,0.4,False
1464-0600,1,False
2772-6134,1,False
1468-2737,1,False
1756-5537,1,False
2284-0273,1,False
0022-0485,0.2,False
1868-1891,1,False
1537-5110,0.25,False
1541-4159,0.25,False
1540-6237,0.25,False
0734-9041,0.25,False
1045-2249,1,False
0029-5639,0.25,False
2196-5110,0.2,False
1464-3596,1,False
0305-0483,1,False
1549-9618,1,False
1754-7083,1,False
1746-0263,1,False
2055-1959,0.25,False
0731-7107,1,False
1996-8175,1,False
1930-7969,1,False
1466-4372,0.25,False
1746-9902,1,False
1477-2817,1,False
2194-6507,1,False
0147-037X,1,False
2752-5295,1,False
1440-1614,0.25,False
1522-2942,1,False
0149-5933,0.25,False
2694-2518,0.25,False
0008-6215,1,False
1569-3945,1,False
2204-0064,1,False
1464-3642,1,False
0341-7638,1,False
2159-032X,0.25,False
0048-8402,0.25,False
2044-8279,0.2,False
2514-0582,0.25,False
1475-6765,0.2,False
1549-9243,0.25,False
2162-4070,1,False
1467-7962,1,False
0367-326X,1,False
1563-5139,0.25,False
2326-8271,0.25,False
2667-1182,1,False
2352-8532,0.25,False
1940-9222,0.2,False
0374-0463,0.25,False
1552-5449,0.25,False
1462-3889,0.25,False
1477-4569,0.25,False
1466-4658,1,False
1369-8478,0.25,False
1071-5819,1,False
1944-8252,0.2,False
0080-6765,0.2,False
2590-1621,1,False
2045-4538,0.25,False
1748-121X,1,False
2590-051X,1,False
1467-2227,0.25,False
1875-9637,1,False
2191-0308,1,False
0897-1897,1,False
2470-5470,1,False
1352-7258,1,False
1574-0773,1,False
2732-5016,1,False
1366-2716,1,False
0181-5512,1,False
2666-3341,1,False
1600-0897,1,False
1098-5549,1,False
1532-7930,1,False
1208-6010,1,False
2510-2648,0.4,False
1948-4798,1,False
1476-6787,0.25,False
2352-5878,1,False
1473-7159,0.25,False
1468-0483,1,False
2042-0196,1,False
2211-5684,1,False
2197-6376,1,False
0342-2852,1,False
0260-7476,0.25,False
0162-6434,0.25,False
2154-400X,1,False
1743-4440,1,False
1352-3260,0.25,False
2379-3414,1,False
2454-213X,0.25,False
1872-034X,1,False
0954-6111,1,False
0016-8890,0.25,False
2194-4296,1,False
2573-9476,1,False
2667-0321,0.25,False
2211-2669,1,False
0261-4294,1,False
1868-9426,1,False
